location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Netherlands,35.43695061,37.91710404,40.10848696,44.78113805,50.00071243,56.34755565,59.36947492,68.89204595,73.23585048,69.46665635,69.93831586,76.25804224,74.95964135,76.29546139,79.03730623,74.15897337,70.46844951,65.01182022,65.24757771,67.78031771,69.86206759,73.28922245,74.78633213,75.05280751,75.36923675,77.58199854,80.06152591,80.82675736,81.68020429,81.21268185,83.90430924,87.16016997,86.07613618,86.41434117,85.53054561,87.24841599,90.7307208,90.34426517,91.31418347,94.30693697,96.38443422,95.29782225,94.95912897,92.93747516,91.79900855,96.09964677,91.50892492,88.05678644,85.88790555,80.88587306,82.09307089,84.49477721,0.026443722,-0.01592101,0.006364329
Norway,17.038321,17.48181,18.759851,21.009051,21.114752,22.143724,23.363786,24.766725,26.213204,26.226164,26.610004,28.477243,26.323624,29.572766,31.635486,30.077106,31.681848,31.273468,34.329908,34.770508,34.48005938,33.79207215,35.33513878,36.39910043,38.66105598,39.58367739,36.52350269,38.49193164,39.69961764,38.70273587,40.78625029,37.59304854,39.71463629,41.08646124,42.05149987,46.2574645,41.92784896,43.60055314,39.12746432,39.8271192,45.98288546,42.27209324,45.72009381,46.73242256,43.62180607,41.91537246,43.00509873,47.78750755,45.01014008,46.40673162,47.17791544,48.58378893,0.026985738,0.002568956,0.003659436
Poland,66.58184278,67.87686252,69.84020007,75.14136869,80.28353546,84.69781726,87.44977689,92.23942504,93.9398145,97.03317672,104.6914343,110.3089354,114.9905527,120.7301538,122.5692846,128.3771152,115.7264936,117.9300588,118.5708602,123.3325458,126.1347652,129.7261015,133.9381357,131.3785288,126.3591117,104.0049199,101.7846177,97.33342221,97.28723482,93.07059368,95.17196885,99.8349436,98.79058487,94.67359214,92.78580919,87.16932469,86.50076022,85.49282005,88.48372608,88.61917674,90.61356271,94.08223541,93.72588928,95.44986337,92.03875078,98.20242234,98.69926481,95.7176816,96.02211214,92.43955502,93.44822382,96.72060496,0.032190204,0.003085112,0.007285204
Portugal,4.107282301,4.473082228,4.788658415,4.879505725,5.26137892,6.338664609,6.985991454,7.584301157,8.393647826,8.78965268,8.761809049,8.714992976,9.763956612,10.28084049,10.91660821,10.67110562,10.56147607,11.36967579,11.77115303,12.21450756,12.40177495,13.17948255,13.46930751,14.86369742,16.28599422,16.75046447,17.46007312,17.92501344,18.27921785,19.10974525,20.48759554,20.94954047,21.3593993,23.38690675,24.02420773,24.67624556,25.10910332,25.07038693,25.67465725,25.28477307,25.4118028,25.11187262,25.17719572,24.18077334,24.38521336,25.62839627,24.4557468,22.35918027,24.46099469,24.63498281,24.56660647,25.99123258,0.055099666,-0.003376854,0.001957715
Romania,25.46362628,27.18023038,30.28693914,32.19219397,37.04260865,39.34470535,41.744,43.821,47.593,48.021,52.154,56.48,59.902,64.385,65.426,66.176,66.564,66.084,65.72,65.226,64.565,66.213,68.398,69.262,69.435,62.74691138,52.8277781,47.26393138,45.51872195,43.17319494,47.30031178,47.0240819,44.50053398,40.48643123,35.38311175,35.73107484,36.04170319,37.97231676,37.68931866,39.09548603,39.0507429,39.60796936,38.58254887,39.01214192,33.45625039,33.7732186,34.67674359,33.95054887,31.48090212,32.49737994,32.58446625,33.07260713,0.012207613,-0.017939754,0.0024911
Russian Federation,,,,,,,,,,,,,,,,,,,,,819.4462826,833.888251,861.5116395,877.1047919,880.4734005,865.4224861,853.9894814,822.4448831,767.8086039,700.0218533,662.4016685,637.9640162,602.476077,602.2128168,608.7159583,620.2963614,630.7025331,628.5203212,641.6111615,648.024989,647.2148254,676.1052756,680.5024553,683.5025468,647.9975566,673.2854064,694.907086,695.226679,686.8022224,689.1747757,681.6861338,673.9419816,-0.014061492,0.005202593,0.050762761
Slovakia,9.128740763,9.456680139,9.519224401,10.46227324,10.9390119,12.07729502,12.95898887,13.63231737,14.18431362,14.90838435,15.61306544,16.19363181,17.0140277,17.85878391,18.34986713,18.61626515,18.46219813,18.23923347,18.28486695,19.68140458,20.26731063,20.04905458,20.53741965,20.64062864,20.91804281,21.0265059,18.79710391,17.99134925,17.67748272,17.34851764,17.54062706,17.73842062,17.48660426,17.6885337,17.70546021,18.24055899,18.80934363,18.96807435,18.40534781,17.97386792,19.00299599,18.39861924,17.28146508,17.93673709,16.34264832,17.42683501,16.81285479,16.15929234,16.84888219,15.53992924,15.66709441,15.93236013,0.014152892,-0.019118287,0.00120006
Spain,28.442,32.0524745,34.67779567,36.471949,41.21208779,44.56632149,49.03710422,52.63401674,57.99619107,60.56227176,62.19990573,66.57270394,68.47384858,68.26756419,73.46432308,74.35548382,75.00926465,75.08666557,76.77334597,77.44838277,76.55617781,78.46111038,81.15499321,84.48094963,89.10915993,88.57977734,91.49676043,96.49732615,92.94107542,96.53527635,102.2581516,106.0964337,112.528544,118.3266758,122.7061458,129.3995045,134.3041773,136.398387,144.5122777,150.7424344,152.310758,154.0780448,158.0126219,153.7172669,142.8146321,146.1953878,143.1118741,142.3759777,134.1792351,132.1777396,134.3760132,134.9537197,0.001555192,-0.012449945,0.010165005
Sweden,31.693325,33.924293,34.303503,36.646739,38.090298,40.60426576,41.01054001,42.33688116,44.96727875,41.6434382,43.99826627,47.01750137,46.22956202,46.63716364,48.35977973,46.05505416,46.21493057,44.28230174,44.73102294,47.69697321,51.87546547,53.08612919,53.37016014,52.7098933,52.39942721,53.23021627,51.85658588,52.31672944,51.72388897,52.09689456,52.51271607,51.32820163,52.61972421,54.78224629,53.8076775,50.90772817,54.80608129,51.72318536,49.83095683,54.46035038,55.43928793,51.98995824,53.11110512,52.76201681,48.14559167,51.81234312,51.25568273,54.50145601,51.25555478,51.44273494,52.94064423,52.20514606,-0.016587164,-0.004601097,0.003932204
Switzerland,14.76505102,15.83227931,16.90682072,17.79932243,18.4388691,20.37366909,20.99650713,20.38185759,22.5762159,21.32143219,22.16800571,21.33049391,23.58295831,23.2296595,22.69670502,24.66300797,24.53110282,24.00321112,25.00148831,24.20146897,26.10454567,27.44049691,27.22036793,27.40941979,25.6758761,26.75414131,27.45903955,27.87788464,27.77249576,29.15545261,27.66008001,26.7270766,28.59102297,28.7697029,29.73787028,29.03360788,31.100075,29.06624534,28.84163064,28.51917761,27.4480771,28.68334657,28.40955261,29.43257367,29.44556603,28.73652688,27.21956897,28.83312094,29.69675923,28.46921086,27.86518834,26.39464445,-0.055361565,0.001509344,0.001988102
Turkey,7.749680862,8.887659275,9.190087523,10.7228813,11.71277191,12.45080866,13.81627972,15.42162868,17.53766068,17.83517278,19.77961796,22.23943866,24.31802566,25.54323211,24.06693135,25.02858804,25.21559904,27.52557089,28.51657012,30.01403752,32.48881812,35.41733887,40.20264514,44.10144969,43.62814888,47.25854921,48.36155019,50.79698209,55.04836279,53.36514211,59.75047988,65.22755618,68.45455086,70.23535703,68.69671619,73.58490156,67.24055601,73.47383742,78.16655127,83.57246949,86.06946117,95.76679902,102.7940014,103.2841728,104.2884068,110.9662061,114.9480726,120.1479756,118.5490895,122.5549616,131.9114854,137.8752037,0.042354234,0.043622304,0.010385057
