location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Netherlands,8.861182765,8.072991306,7.76249164,7.356453616,6.257762492,4.585841215,3.463265501,2.961689118,3.009458298,2.86615076,2.412343556,3.009458298,3.152765835,3.606573039,3.439380911,3.988726474,4.418649088,5.111302188,5.278494315,6.37718544,6.35330085,6.544377568,6.902646413,8.264068023,8.192414254,8.741759817,8.049106716,8.025222127,8.096875896,8.622336868,8.908951944,8.598452279,8.359606382,8.52679851,7.475876564,7.76249164,8.264068023,8.311837203,8.598452279,8.47902933,8.096875896,7.714722461,8.407375561,7.953568358,7.499761154,7.547530333,7.451991975,8.192414254,8.192414254,9.052259482,11.01079583,10.27037355,-0.06979363,0.03121714,0.002751977
Norway,0.763321,0.70281,0.737851,0.751051,0.836752,0.854724,0.803786,0.872725,0.938204,1.040164,0.989004,0.954243,0.821624,0.846766,1.054486,0.976106,0.977848,0.940468,1.001908,1.123508,1.118928,0.997189,0.963387,0.988991,0.866494,0.8114808,0.7222112,0.7255672,0.7846328,0.8846416,0.9658568,0.9604872,0.953104,1.0343192,0.9692128,0.9927048,0.8846416,0.7671816,0.7490592,0.845712,0.7222112,0.6195176,0.681268,0.7020752,0.558899398,0.76191841,0.845514474,0.819241425,0.776249164,0.850291392,0.819241425,0.820771529,-0.000869636,0.012685912,0.000219928
Poland,59.481,60.278,61.369,64.322,67.577,70.18,71.837,75.147,75.456,77.583,83.701,87.516,90.62,94.839,95.983,101.644,90.63,93.815,93.588,97.586,99.855,102.408,106.1,103.179,98.591,78.4405,77.6919,75.111,74.2465,69.1476,70.3236,71.9823,70.2455,63.2954,60.7251,56.2437,55.5811,54.5289,56.1389,54.48922805,55.11806153,57.40188211,55.94754944,55.2177558,51.83789529,55.07506927,54.96283558,51.22933983,53.38110251,49.44528041,48.67130028,48.80727437,5.38E-05,-0.01236175,0.013078053
Portugal,0.592,0.604,0.601,0.541,0.51,0.467,0.432,0.382,0.565,0.439,0.412,0.4,0.363,0.428,0.447,0.35,0.397,0.366,0.4,0.495,0.769,1.45,1.888,2.177,2.429,2.848,2.984,3.021,3.29,3.427,4.202,3.92,3.566,3.565,3.702132651,3.712241,3.174463,3.499902,3.350634,3.314971,3.335867,3.303066,2.875081,2.516021,2.856117,1.647627,2.220857,2.910695,2.658918,2.679111,3.259361,2.879,-0.119111421,-0.002317456,0.000771437
Romania,4.35962628,4.695230375,5.202939135,5.70419397,6.591608646,7.161705347,7.564,7.918,8.916,9.377,9.721,9.866,9.99,11.218,12.082,12.364,12.996,12.418,14.347,14.322,14.922,15.113,16.182,17.523,17.503,12.731,10.2402,10.7617,10.1326,10.4152,10.7872,10.7476,9.7155,8.0563,6.8611,7.4932,7.6489,8.8189,9.4233,9.3114,8.7879,9.5148,10.1449,9.6028,7.5558,7.0082,8.1617,7.6034,5.755,5.7455,5.9144,5.403936166,-0.088805067,-0.038824796,0.001448001
Russian Federation,,,,,,,,,,,,,,,,,,,,,198.098453,203.4790175,206.583335,203.5341272,196.80716,182.3055389,167.0602783,156.9825061,141.6912942,123.9230573,119.3762396,117.1656924,108.0351006,101.1565524,101.9770101,105.7658416,103.1735189,103.6061446,104.2487964,99.8926852,94.5746032,97.0217262,93.916039,100.7183142,92.1538247,90.543222,94.017,98.4256,90.517,87.5518,92.163232,87.30937592,-0.055254207,-0.002579438,0.023394804
Slovakia,6.038740763,6.114680139,5.896224401,6.201022169,6.522464183,6.57551772,6.898,7.021,6.827,6.804,6.775,6.715,6.897,7.232,7.113,8.096,7.879,8.02,8.031,8.543,8.475,7.828,8.223,8.57,8.266,7.8237,6.9553,6.1552,6.1208,5.4589,5.3903,5.3392,5.0889,4.6903,4.5559,4.2777,4.4333,4.273,4.5948,4.5295,4.2305,4.4562,4.0024,4.0105,3.8757,3.8969,3.6992,3.4757,3.4544,3.4242,3.2753,3.121077,-0.049690267,-0.025266396,0.000836302
Spain,9.7,8.974,9.12,9.232,9.29,9.814,9.863,10.101,9.893,9.582,10.619,10.285,11.017,9.468,10.791,12.439,15.345,17.005,17.886,18.184,17.978,18.63,18.074,15.682,19.332,19.212,19.999,20.404,18.354,18.922,18.967,16.027,18.355,17.491,19.603,20.936,19.168,21.598,20.129,21.049,20.513,17.908,20.037,13.504,9.43,6.897,12.791,15.492,11.397,11.639,13.686,10.442,-0.239115158,-0.039660626,0.002797965
Sweden,2.229325,2.127293,2.111503,1.844739,1.801298,1.90285,1.715336,1.473743,1.628995,1.799658,1.941121,1.8634,1.479103,1.517287,1.792487,1.708424,1.46907,1.634532,2.048405,2.471788,2.909835,3.102244,3.063075,3.007017,2.835154,2.9729,2.7165,2.5603,2.7248,2.9353,2.8839,3.0304,2.622,2.5446,2.4361,2.4522,2.7586,2.8457,2.678,2.9522,2.6289,2.6906,2.6787,2.4322,1.9256,2.4923,2.492,2.1945,2.218,2.1027,2.1164,2.2497226,0.060090634,-0.021451471,0.00060282
Switzerland,1.275437088,1.054504634,0.889462119,0.840737556,0.760485335,0.65252699,0.440670679,0.372838445,0.353969619,0.305245056,0.228814369,0.214961307,0.250788191,0.225709372,0.233352441,0.341549632,0.505159071,0.446880673,0.390035349,0.501098691,0.503248304,0.433027611,0.402933028,0.343938091,0.35564154,0.35564154,0.302140059,0.209229005,0.175312888,0.177462501,0.19036018,0.142352154,0.109630267,0.091000287,0.094582975,0.137814082,0.144024076,0.132798319,0.136381007,0.129454476,0.144262922,0.155727525,0.174357505,0.156682908,0.14784561,0.148323302,0.139486004,0.125871788,0.135425623,0.140919079,0.12921563,0.129569646,0,-0.010955044,3.47E-05
