location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Netherlands,0.138653626,0.264468952,0.467314071,0.783557146,1.158014539,1.63046393,2.131157578,2.76549581,3.083759339,3.281469138,3.420122764,3.543931668,3.566479369,3.574182348,3.558776389,3.244336289,3.096597638,2.957944012,3.163356791,3.351883348,3.540802771,3.533099792,3.64607682,3.287867241,3.379040208,3.402149146,3.797568745,3.687327747,3.802704064,3.671753418,3.771892147,4.16872887,3.915681092,3.866895557,3.779595126,3.779510941,3.866895557,3.825813002,3.854057259,3.933149597,3.830948321,3.676888737,3.571614688,3.710373546,3.759053849,4.218664941,3.682024057,3.477354917,3.530532132,3.078624019,3.045244443,3.239215,0.063696219,-0.022691701,0.009475655
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0.036873453,0.0619216,0.070736828,0.075796801,0.093419914,0.100837605,0.113522933,0.108924399,0.115135475,0.126853278,0.139646108,0.175394013,0.194795033,0.20629783,0.232421005,0.249475469,0.2631668,0.2825173,0.285204869,0.308762076,0.357554239,0.365186936,0.348846514,0.390562585,0.362929377,0.387332508,0.417325783,0.440093168,0.431402463,0.425449547,0.412107696,0.417651018,0.399962454,0.397968434,0.425910305,0.421118969,0.427263315,0.451019097,0.468107031,0.470022039,0.004090962,0.008198982,0.001374953
Poland,0.158360928,0.188252338,0.230051785,0.315192776,0.438184742,0.558857303,0.614628413,0.644973542,0.672606427,0.691366262,0.740373386,0.787797573,0.838168099,0.882350077,0.920322683,0.940487511,0.889525402,0.889153348,0.909470726,0.943508815,0.959559348,1.016952706,1.049915294,1.039738851,1.023444006,0.960832651,0.895970485,0.832176867,0.876561288,0.883242082,0.966961141,1.012616251,1.012400245,1.022813132,0.995821893,1.067769455,1.115512325,1.087196943,1.210554763,1.273704405,1.315242872,1.33018049,1.330538165,1.442080594,1.395297111,1.500476156,1.520801751,1.605772339,1.609344929,1.57266591,1.580540922,1.670545483,0.056945416,0.018544432,0.004886836
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009301347,0.074299856,0.20777708,0.220040963,0.246050835,0.299308914,0.288606208,0.360542145,0.409731821,0.393549849,0.419441085,0.457648884,0.455750252,0.495827609,0.502031444,0.43412439,0.412652295,0.394268609,0.460576615,0.497891576,0.081017922,0.011766322,0.001456479
Romania,1.47612064,1.591471121,1.754552835,1.851393158,2.155753201,2.240680395,2.395806904,2.425390434,2.569638895,2.652308531,2.881611956,3.167598717,3.364621936,3.478144869,3.351936608,3.471429177,3.657674508,3.720026119,3.704330714,3.680486832,3.431488664,3.493195258,3.430306133,3.431547408,3.427403558,3.100212902,2.558305748,2.272272193,2.190465383,1.995143507,2.068365459,2.081837079,1.713437854,1.61089066,1.476121904,1.466606444,1.416865452,1.465127185,1.583444945,1.494207629,1.496781294,1.543003692,1.368939121,1.349527898,1.132625757,1.159759611,1.187743781,1.197552178,1.09359649,1.020134807,0.962189145,1.02177926,0.061931809,-0.043224137,0.002989004
Russian Federation,,,,,,,,,,,,,,,,,,,,,33.90365942,34.29684145,36.2755796,38.1761116,38.84982687,39.43647115,40.46093459,39.05809407,39.05121533,36.68722138,35.46136948,35.56178246,32.88712221,34.23551758,34.13039092,34.7706615,35.43505594,35.86409417,36.71341476,37.56488844,38.12311183,40.15447653,40.82867948,40.1408164,37.69923956,40.06998227,41.07788064,40.16203506,40.00346383,39.64087371,38.970751,37.71242249,-0.03228905,0.002201488,0.110319913
Slovakia,0.031068303,0.034508392,0.041388569,0.082149053,0.083481037,0.112101456,0.140721875,0.152397256,0.16783097,0.204618088,0.2342553,0.257921662,0.29392951,0.329348579,0.339877011,0.248463667,0.25868838,0.270120372,0.277392754,0.313966739,0.323506639,0.346486167,0.365967001,0.359205642,0.40723032,0.546970066,0.486480111,0.533634681,0.529901804,0.505935525,0.560863159,0.589476955,0.599820206,0.609491296,0.616867669,0.619284391,0.663115586,0.630756141,0.609401171,0.589479259,0.634559872,0.57813709,0.547117963,0.553875805,0.475743698,0.538204846,0.498496758,0.468002551,0.517566254,0.405536435,0.417051619,0.423738486,0.01603367,-0.041103528,0.00123956
Spain,0,0,0,0,0.009030233,0.007202686,0.038163486,0.111926253,0.1083628,0.1354535,0.139753611,0.159955909,0.154266486,0.158029083,0.152653944,0.195227688,0.223498275,0.243708797,0.263596811,0.215597408,0.229303425,0.27015448,0.289182472,0.372122627,0.479032377,0.5342268,0.601851352,0.627577793,0.617282846,0.676795409,0.83001057,0.92634602,1.215428237,1.24776298,1.428366212,1.631310559,1.762697525,2.015416824,2.295062103,2.69811677,3.207701286,3.35702334,3.416173162,3.741916174,3.356131506,3.345847694,3.110100959,3.062843223,2.803400314,2.543703458,2.643544921,2.69735309,0.020354551,-0.019157495,0.00789055
Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967525,0.021500556,0.030745794,0.043848503,0.069016783,0.062024389,0.066264879,0.074590031,0.0816277,0.081036111,0.081116993,0.086682162,0.085861258,0.085100974,0.085283534,0.083176896,0.094099594,0.095761126,0.095490752,0.094815024,0.090584724,0.08920281,0.095146429,0.085603618,0.105674861,0.142928779,0.115884389,0.100700921,0.100059389,0.085267358,0.08237643,0.090643734,0.100360073,-0.009453655,0.00026516
Switzerland,0,0,0,0,2.31E-05,0.003558776,0.008596525,0.010877617,0.014766611,0.03110463,0.050100177,0.052152642,0.059713495,0.065513838,0.073486422,0.083610157,0.090448382,0.095532348,0.105030121,0.116819152,0.122639132,0.125597076,0.134655779,0.135232745,0.14748124,0.157857153,0.177199333,0.185749135,0.195409176,0.192751648,0.212417354,0.229305694,0.221984455,0.228501175,0.236751066,0.234790594,0.245047174,0.240517822,0.254221422,0.261546766,0.269242232,0.261801154,0.254914691,0.270857269,0.260691925,0.291195723,0.258288595,0.282357122,0.298174622,0.258288595,0.275966933,0.289123655,0.047674994,0.002470004,0.000845772
